date,depositCount,deposits,withdrawCount,withdrawals,svZCHFPrice,totalAssets,totalShares,impliedYield,nativeYield
2025-11-07,11,10313.31699911615,35,2141.4761428235647,1.0033809074794737,266544.24634575896,265646.1213870682,2.5493,3
2025-11-08,4,99.2193528924378,35,3707.5109485138496,1.0034617840241438,262957.31061103573,262050.1495896617,2.942,3
2025-11-09,2,2963.036492708708,40,2688.057013908353,1.0035456319156164,263254.27525248396,262324.17030202347,3.0498,3
2025-11-10,12,12661.340658006993,49,9463.105820659437,1.0036173503922525,266471.1921472635,265510.7467433841,2.6084,3
2025-11-11,3,549.0301565584391,43,3133.1757728147286,1.0036999119665173,263908.85476017,262936.0146531265,3.0026,3
2025-11-12,16,8604.479806649186,40,6830.362373038837,1.003768862177428,265701.09104165796,264703.4601823424,2.5074,3
2025-11-13,16,25384.96490992294,37,7218.6757066249875,1.0038252965113303,283882.6243996687,282800.8273812857,2.0521,3
2025-11-14,7,2312.582184611734,42,5589.919869068706,1.0039112135096118,280629.460148331,279536.1346420942,3.124,3
2025-11-15,5,308.2298089738532,35,3993.623310680011,1.0039969366882178,276967.91174160736,275865.2956205356,3.1167,3
2025-11-16,8,2309.4850418271085,40,10496.646598914129,1.004072564378344,268801.38478199096,267711.11403528415,2.7494,3
2025-11-17,6,19477.23044369666,41,5001.0094426488895,1.0041408372131948,283296.3214318078,282128.07499996095,2.4818,3
2025-11-18,10,2175.1426607249373,30,1194.4933701774883,1.0042162213848358,284298.24306395,283104.61134744127,2.7401,3
2025-11-19,5,892.9147389586675,38,1207.4829824034239,1.0043020591588174,284007.9677152203,282791.382458281,3.1199,3
2025-11-20,7,49075.52835740812,27,50373.07419588357,1.0043453572803327,282722.65205328417,281499.43642779306,1.5736,3
2025-11-21,9,4006.206509826108,35,3791.506879268951,1.0044297303337821,282961.09844921785,281713.1850081608,3.0662,3
2025-11-22,1,564.0780917058988,28,1712.3162009861974,1.0045121209817511,281836.0417249725,280570.07560000615,2.9939,3
2025-11-23,1,16.775507851324157,18,2288.972104892135,1.004574068129554,279581.1914367297,278308.19081094745,2.2509,3
2025-11-24,14,62282.05987941745,36,9058.481749097413,1.0046310235569094,332820.58662232495,331286.39153902425,2.0694,3
2025-11-25,17,22277.235175178208,21,5962.452578402013,1.0046924269094055,349156.2620212598,347525.52390120056,2.2308,3
2025-11-26,11,4269.408107939835,35,11450.849290721813,1.0047755647834402,342003.320856767,340377.824504997,3.0203,3
2025-11-27,9,5567.481713646497,33,1700.2681793638787,1.0048493685162896,345895.72153849434,344226.4406746125,2.681,3
2025-11-28,17,17359.762207023225,53,7457.431881137277,1.0049252612301371,355824.5624946263,354080.6229301656,2.7567,3
2025-11-29,7,8062.98860815806,42,3066.2093236606606,1.005000586602071,360848.0305592831,359052.55715254677,2.7359,3
2025-11-30,4,645.0381081553553,31,1383.419904277182,1.0050675333205614,360133.6785482279,358317.8906977637,2.4313,3
2025-12-01,12,4007.289285345654,28,7514.776775079786,1.0051610965618596,356659.55037765193,354828.2475292779,3.3978,3
2025-12-02,9,11923.467971792417,9,3572.2538799827876,1.0052280597477299,365034.59613554884,363136.0989138696,2.4316,3
2025-12-03,14,16948.2109994313,25,61176.810639553056,1.0053036052593534,320832.374436805,319139.7830051898,2.743,3
2025-12-04,14,54944.78436947018,53,4175.329386081717,1.0053634778826015,371621.0418066307,369638.493919933,2.1738,3
2025-12-05,12,11030.946893014658,51,60037.58186766089,1.0054298704859213,322638.0263593405,320895.604785852,2.4104,3
2025-12-06,8,738.3783747377925,51,2501.923710121363,1.0055073897705018,320899.29304387944,319141.65555473627,2.8141,3
2025-12-07,8,4552.49285257213,29,10191.17334733053,1.0055877530115795,315285.8961902704,313533.9459396139,2.9171,3
2025-12-08,16,4142.265048790543,45,9788.911832701697,1.0056688363992492,309664.35368870734,307918.81231742876,2.943,3
2025-12-09,11,10264.329122953024,28,13068.390232963244,1.0057366200092233,306881.1040618221,305130.68526728975,2.4601,3
2025-12-10,9,11006.60915236097,41,5313.462628221836,1.005824292819645,312601.2497291429,310791.1112912398,3.1818,4
2025-12-11,16,5662.831690056788,16,1982.3298603074359,1.0059247763397055,316313.1743098135,314450.12763359264,3.6464,4
2025-12-12,5,3005.2002095369403,20,2241.862503113649,1.006031884149981,317110.2652430045,315208.9613053747,3.8864,4
